,Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
68,MNIST 5-9,Improved Noisy Student,3,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3, ensemble_size: 2",0.982318939,0.982504,0.004428338,0.982440839,0.999476541,0.998163382,54.07823443,1.780789852
69,MNIST 5-9,Baseline,4,None,0.984359062,0.984124301,0.003919263,0.984638261,0.998968921,0.996927913,2.943295717,0.125069857
70,MNIST 5-9,Noisy Student,4,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3",0.984019041,0.984112633,0.003990605,0.984023916,0.999219579,0.997781671,18.96217632,0.373244286
71,MNIST 5-9,Improved Noisy Student,4,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3, ensemble_size: 3",0.984699082,0.984662013,0.003826559,0.984744025,0.99914389,0.997657171,55.11495924,1.420760155
72,MNIST 5-9,Baseline,5,None,0.981292517,0.9812494,0.004664816,0.981292732,0.999272514,0.997579471,1.812566042,0.124740839
73,MNIST 5-9,Noisy Student,5,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3",0.980272109,0.980282339,0.004912888,0.980066794,0.999499647,0.998226561,16.68239427,0.38552928
74,MNIST 5-9,Improved Noisy Student,5,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3, ensemble_size: 3",0.983333333,0.983151974,0.004165696,0.983288398,0.999346815,0.997910892,58.74609256,1.42023325
75,MNIST 5-9,Baseline,6,None,0.978231293,0.978426829,0.00543571,0.978131337,0.999266739,0.997404879,1.799386978,0.170853853
76,MNIST 5-9,Noisy Student,6,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3",0.982653061,0.982298799,0.004345697,0.982713722,0.999322027,0.997555145,19.12172079,0.370559454
77,MNIST 5-9,Improved Noisy Student,6,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3, ensemble_size: 2",0.985034014,0.984551207,0.003768975,0.985671022,0.999409553,0.997935957,62.42062116,1.105416775
78,MNIST 5-9,Baseline,7,None,0.970748299,0.970655432,0.007291074,0.971427786,0.999362814,0.997596441,1.882928371,0.178594828
79,MNIST 5-9,Noisy Student,7,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2",0.97585034,0.976003639,0.006010541,0.975587438,0.999347675,0.997587886,16.28816056,0.381029844
80,MNIST 5-9,Improved Noisy Student,7,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2, ensemble_size: 2",0.976530612,0.976498801,0.005848421,0.976427628,0.999260533,0.997422004,38.16158175,1.441252708
81,MNIST 5-9,Baseline,8,None,0.97755102,0.977395933,0.00563617,0.977954248,0.99940759,0.997895225,1.861843348,0.172307014
82,MNIST 5-9,Noisy Student,8,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3",0.980272109,0.980356818,0.00492958,0.980360483,0.999580066,0.998431674,17.15003133,0.69331789
83,MNIST 5-9,Improved Noisy Student,8,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3, ensemble_size: 2",0.985034014,0.985210093,0.003738891,0.984993605,0.999655952,0.998744805,63.10932612,1.438566923
84,MNIST 5-9,Baseline,9,None,0.975510204,0.975621305,0.006093648,0.975223715,0.999304136,0.997513946,1.9235816,0.172698259
85,MNIST 5-9,Noisy Student,9,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3",0.980952381,0.98087341,0.004765598,0.981059054,0.999527565,0.998279778,17.30139446,0.701464891
86,MNIST 5-9,Improved Noisy Student,9,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3, ensemble_size: 3",0.981972789,0.981796977,0.004510618,0.982125752,0.999366983,0.997960507,56.95002961,1.095154762
87,MNIST 5-9,Baseline,10,None,0.976870748,0.977029109,0.005766584,0.976947888,0.998953991,0.997012313,1.855974197,0.172107935
88,MNIST 5-9,Noisy Student,10,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3",0.984353741,0.984360268,0.003904432,0.984204611,0.999360767,0.998265532,17.46615863,0.698542833
89,MNIST 5-9,Improved Noisy Student,10,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3, ensemble_size: 3",0.989455782,0.989126625,0.002649278,0.989611753,0.999571297,0.998782362,61.10118866,1.098240852
90,CIFAR10 0-4,Baseline,1,None,0.6416,0.646168359,0.089740932,0.663119168,0.896718233,0.716775534,1.748671055,0.186360836
91,CIFAR10 0-4,Noisy Student,1,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3",0.6472,0.651533438,0.088521515,0.65469486,0.888713317,0.706883803,9.540672064,0.747692108
92,CIFAR10 0-4,Improved Noisy Student,1,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3, ensemble_size: 3",0.6488,0.655554954,0.087827959,0.649195395,0.892294632,0.70793695,37.62928557,2.582040787
93,CIFAR10 0-4,Baseline,2,None,0.6172,0.618124328,0.095482909,0.634629143,0.884965438,0.674171916,1.774284124,0.192810774
94,CIFAR10 0-4,Noisy Student,2,"unl_factor: 0.2, threshold: 0.6, num_of_students: 2",0.6344,0.633364338,0.09143418,0.632729987,0.887819857,0.687088763,10.28145504,1.133017063
